year,county_fips,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,TOTAL,MARGIN
2000,1133.0,2692.0,88.0,,125.0,6413.0,9318.0,0.3993346211633398
2000,2001.0,1284.0,475.0,,216.0,4681.0,6656.0,0.5103665865384616
2000,2002.0,2081.0,846.0,,226.0,4235.0,7388.0,0.29155387114239306
2000,2003.0,3693.0,1161.0,,236.0,3135.0,8225.0,-0.0678419452887538
2000,2004.0,2715.0,768.0,,213.0,4127.0,7823.0,0.1804934168477566
2000,2005.0,1931.0,751.0,,210.0,3545.0,6437.0,0.2507379213919528
2000,2006.0,1542.0,494.0,,202.0,3862.0,6100.0,0.380327868852459
2000,2007.0,1893.0,1563.0,,353.0,4868.0,8677.0,0.34286043563443586
2000,2008.0,1498.0,809.0,,300.0,5371.0,7978.0,0.48546001504136377
2000,2009.0,1203.0,478.0,,330.0,4789.0,6800.0,0.5273529411764706
2000,2010.0,2194.0,803.0,,214.0,5673.0,8884.0,0.39160288158487166
2000,2011.0,2043.0,743.0,,234.0,3960.0,6980.0,0.27464183381088825
2000,2012.0,2051.0,691.0,,233.0,4626.0,7601.0,0.33877121431390605
2000,2013.0,2661.0,1230.0,,199.0,3853.0,7943.0,0.1500692433589324
2000,2014.0,1626.0,342.0,,150.0,3750.0,5868.0,0.3619631901840491
2000,2015.0,2106.0,1068.0,,243.0,2453.0,5870.0,0.05911413969335605
2000,2016.0,1969.0,530.0,,206.0,1980.0,4685.0,0.0023479188900747067
2000,2017.0,2230.0,641.0,,269.0,4564.0,7704.0,0.3029595015576324
2000,2018.0,2739.0,1484.0,,238.0,5421.0,9882.0,0.27140255009107467
2000,2019.0,2350.0,728.0,,254.0,4619.0,7951.0,0.28537290906804175
2000,2020.0,2259.0,839.0,,217.0,3648.0,6963.0,0.1994829814735028
2000,2021.0,2309.0,810.0,,247.0,3263.0,6629.0,0.14391310906622418
2000,2022.0,2656.0,697.0,,262.0,4910.0,8525.0,0.26439882697947215
2000,2023.0,1282.0,283.0,,104.0,2961.0,4630.0,0.36263498920086396
2000,2024.0,1985.0,631.0,,236.0,5063.0,7915.0,0.38888186986734047
2000,2025.0,1697.0,743.0,,272.0,5489.0,8201.0,0.4623826362638703
2000,2026.0,1608.0,715.0,,398.0,5869.0,8590.0,0.4960419091967404
2000,2027.0,2199.0,1014.0,,511.0,6714.0,10438.0,0.4325541291435141
2000,2028.0,2116.0,1100.0,,711.0,7113.0,11040.0,0.45262681159420287
2000,2029.0,2806.0,1628.0,,335.0,4054.0,8823.0,0.14144848690921455
2000,2030.0,1698.0,538.0,,225.0,3622.0,6083.0,0.3162913036330758
2000,2031.0,1831.0,535.0,,273.0,3326.0,5965.0,0.250628667225482
2000,2032.0,1389.0,285.0,,181.0,4178.0,6033.0,0.4622907342947124
2000,2033.0,1765.0,789.0,,354.0,5804.0,8712.0,0.463613406795225
2000,2034.0,1300.0,407.0,,204.0,5243.0,7154.0,0.5511601901034386
2000,2035.0,1208.0,588.0,,308.0,4278.0,6382.0,0.4810404261986838
2000,2036.0,1945.0,383.0,,242.0,3007.0,5577.0,0.1904249596557289
2000,2037.0,1821.0,255.0,,227.0,2725.0,5028.0,0.17979315831344472
2000,2038.0,2015.0,267.0,,227.0,2467.0,4976.0,0.09083601286173633
2000,2039.0,2282.0,383.0,,202.0,2321.0,5188.0,0.007517347725520432
2000,2040.0,1024.0,252.0,,119.0,1831.0,3226.0,0.25015499070055797
2000,2099.0,0.0,0.0,,0.0,0.0,0.0,
2000,4001.0,13025.0,245.0,,239.0,5947.0,19456.0,-0.3637952302631579
2000,4003.0,13360.0,1113.0,,588.0,18180.0,33241.0,0.14500165458319544
2000,4005.0,20280.0,2478.0,,563.0,17562.0,40883.0,-0.06648240099796981
2000,4007.0,7700.0,497.0,,381.0,9158.0,17736.0,0.08220568335588634
2000,4009.0,3355.0,144.0,,158.0,6007.0,9664.0,0.27442052980132453
2000,4011.0,1216.0,68.0,,57.0,1619.0,2960.0,0.13614864864864865
2000,4012.0,1769.0,91.0,,80.0,2543.0,4483.0,0.1726522418023645
2000,4013.0,386683.0,22465.0,,12584.0,479967.0,901699.0,0.10345359149782798
2000,4015.0,17470.0,1323.0,,962.0,24386.0,44141.0,0.15667973086246348
2000,4017.0,11794.0,517.0,,450.0,12386.0,25147.0,0.023541575535849207
2000,4019.0,147688.0,12355.0,,3018.0,124579.0,287640.0,-0.08034000834376304
2000,4021.0,19650.0,904.0,,614.0,20122.0,41290.0,0.01143133930733834
2000,4023.0,5233.0,217.0,,99.0,3344.0,8893.0,-0.21241425840548747
2000,4025.0,24063.0,2733.0,,1288.0,40144.0,68228.0,0.2356950225713783
