,,,,,,,2000_2016_pct_chg,2000_2016_pct_chg,2016_2020,2016_2020
,,,,,,,std,median,pct_change,vote_change
county_fips,POP_ESTIMATE_2020,state,state_po,county_name,fixed_fips,size,,,,
12063,47096.0,FLORIDA,FL,JACKSON,12063,xs,0.09636317815740542,-0.013767365914635843,0.05768328904173825,369.0
12065,14399.0,FLORIDA,FL,JEFFERSON,12065,xs,0.20827116079007849,-0.02317340752537289,0.10053657158994644,356.0
12067,8218.0,FLORIDA,FL,LAFAYETTE,12067,xs,0.1811024494747777,-0.08507161422330367,-0.015444015444015413,-8.0
12069,386216.0,FLORIDA,FL,LAKE,12069,m,0.18118522792053743,0.16110946400417603,0.3288933447913682,20667.0
12071,765547.0,FLORIDA,FL,LEE,12071,l,0.16792773950547377,0.2046115867022571,0.2624891920453454,32787.0
12073,293955.0,FLORIDA,FL,LEON,12073,m,0.17226471165363377,0.05347053438348781,0.12435373854107823,11449.0
12075,43059.0,FLORIDA,FL,LEVY,12075,xs,0.1437488234132494,0.008329924572550773,0.21642815134287385,1104.0
12077,7804.0,FLORIDA,FL,LIBERTY,12077,xs,0.1768481612202749,-0.055718670452770125,0.0660522273425499,43.0
12079,17869.0,FLORIDA,FL,MADISON,12079,xs,0.2110846300966608,0.016153468066036347,0.06267725467952356,221.0
12081,401619.0,FLORIDA,FL,MANATEE,12081,m,0.12456798167456382,0.10708877599851896,0.2659496798831855,18942.0
12083,377472.0,FLORIDA,FL,MARION,12083,m,0.18790188243286043,0.09016486453829775,0.20658919101884243,12817.0
12085,158671.0,FLORIDA,FL,MARTIN,12085,s,0.1082354373394283,0.055916672184885274,0.22222958423057815,6708.0
12086,2695685.0,FLORIDA,FL,MIAMI-DADE,12086,xl,0.0729968214008168,0.18632465857533143,-0.010064952751439593,-6282.0
12087,82847.0,FLORIDA,FL,MONROE,12087,s,0.11573738851385032,0.02071896950620289,0.1533920193980285,2910.0
12089,91031.0,FLORIDA,FL,NASSAU,12089,s,0.13446047876408043,0.1467285559948177,0.43196246204802646,4695.0
12091,212085.0,FLORIDA,FL,OKALOOSA,12091,s,0.1848686190958472,0.07905891701656165,0.440201850294365,10468.0
12093,39652.0,FLORIDA,FL,OKEECHOBEE,12093,xs,0.12677860822317039,-0.02903357723511757,0.10886587522101543,431.0
12095,1431679.0,FLORIDA,FL,ORANGE,12095,l,0.1880987941888607,0.29219982133778244,0.19739673955876746,65120.0
12097,391141.0,FLORIDA,FL,OSCEOLA,12097,m,0.18074655310387552,0.32092350280960447,0.13853588897470104,11839.0
12099,1494282.0,FLORIDA,FL,PALM BEACH,12099,xl,0.10307811001885414,0.08534830664974669,0.15720107934118555,58899.0
12101,566156.0,FLORIDA,FL,PASCO,12101,m,0.15973929449220556,0.08395738178297457,0.32094916908877114,28931.0
12103,959793.0,FLORIDA,FL,PINELLAS,12103,l,0.08290218634316966,0.039351351858197214,0.18720073940633553,43749.0
12105,730158.0,FLORIDA,FL,POLK,12105,m,0.14606362563411254,0.084130394999549,0.23516388068089888,27616.0
