county_fips,state,state_po,county_name,size,2000,2004,2008,2012,2016,2020
10001,DELAWARE,DE,KENT,s,0.026758140402512072,0.1376636832984976,-0.0980948823309675,-0.04937696517992314,0.04879487385720797,-0.04071243895432347
10003,DELAWARE,DE,NEW CASTLE,m,-0.22982699124392592,-0.21993091565746095,-0.40621331658977367,-0.34066631747694553,-0.2949567629987309,-0.3708545264277743
10005,DELAWARE,DE,SUSSEX,s,0.07363434760963689,0.2174304492662285,0.08577523296283822,0.13025989767132545,0.21958720096596485,0.11246830354381841
1001,ALABAMA,AL,AUTAUGA,xs,0.4097512784751278,0.5197948309347145,0.47840615879192927,0.4603041952197894,0.48996916670003604,0.4441843716240547
1003,ALABAMA,AL,BALDWIN,s,0.47583215297450426,0.5391229082515868,0.5144755751538452,0.5576882514237502,0.571601113269968,0.5376234283682382
1005,ALABAMA,AL,BARBOUR,xs,-0.00885040885040885,0.09900714484550431,0.014531384350816853,-0.031453644973499,0.05568822237080905,0.07663053812511884
1007,ALABAMA,AL,BIBB,xs,0.22010984368398817,0.44513157894736843,0.4584683017121703,0.4667458432304038,0.5515364553804286,0.5772798332464826
1009,ALABAMA,AL,BLOUNT,xs,0.42786401824959663,0.6253720238095238,0.6950591338031071,0.7409397650587353,0.8090901985305612,0.8000217485863419
1011,ALABAMA,AL,BULLOCK,xs,-0.40008156606851547,-0.36379054483782064,-0.4838411819021237,-0.5279969936114243,-0.5074309978768577,-0.4985909386516367
1013,ALABAMA,AL,BUTLER,xs,0.06676919133666538,0.18607414448669202,0.1335873931403852,0.07508424599831508,0.13456252863032525,0.1573566610455312
1015,ALABAMA,AL,CALHOUN,s,0.1676989899509111,0.3255541558929479,0.3252101864262215,0.3192381693581512,0.4099740932642487,0.3900319714414609
1017,ALABAMA,AL,CHAMBERS,xs,0.03557546053743451,0.17457028852056478,0.08478202728002139,0.051673396755868864,0.1481294964028777,0.156241821512693
1019,ALABAMA,AL,CHEROKEE,xs,0.08398312667774512,0.31859874019228646,0.5122626988199076,0.5495449432457307,0.6900214292369328,0.7283147711568165
1021,ALABAMA,AL,CHILTON,xs,0.34852902199840974,0.542203318756365,0.5783525442788867,0.6033100446684229,0.6625292612553759,0.6738477472812014
1023,ALABAMA,AL,CHOCTAW,xs,-0.014510442093843234,0.0821917808219178,0.07436027362553839,0.04593373493975904,0.13672517827756445,0.15661843515541266
1025,ALABAMA,AL,CLARKE,xs,0.12174479166666667,0.18457082675092154,0.11551916635653145,0.08201573893581691,0.10674545315018034,0.11945184621240959
1027,ALABAMA,AL,CLAY,xs,0.28454869964303925,0.41529805352798055,0.4727965977416043,0.45631942359651756,0.605072463768116,0.6253968253968254
1029,ALABAMA,AL,CLEBURNE,xs,0.3277690494893951,0.5137978613314936,0.6235366605052373,0.6821570182394925,0.770514181707872,0.8037913380379134
1031,ALABAMA,AL,COFFEE,xs,0.3056887391473371,0.4847297910990009,0.4888712241653418,0.4927162367223065,0.5611787932777965,0.5307744107744108
1033,ALABAMA,AL,COLBERT,xs,-0.0011610626044956344,0.1082097346981408,0.20271303787787304,0.20397690827453496,0.37864740116395745,0.3894427311195582
1035,ALABAMA,AL,CONECUH,xs,-0.015132408575031526,0.0916791230692576,0.0059052282874837965,-0.016519510111079466,0.051632498101746395,0.07390156807949076
1037,ALABAMA,AL,COOSA,xs,0.0608714692358222,0.16996600679864027,0.17526514470609383,0.162839248434238,0.30445544554455445,0.3349151304982661
1039,ALABAMA,AL,COVINGTON,xs,0.3321090134430324,0.5261502700485404,0.5830113384430228,0.5832198664332491,0.6825595984943539,0.6807228915662651
1041,ALABAMA,AL,CRENSHAW,xs,0.1791449426485923,0.378,0.3784771896359879,0.35540666874415705,0.4546034785383756,0.47816230920356656
1043,ALABAMA,AL,CULLMAN,xs,0.31834038950042337,0.533460259725498,0.6523721852428834,0.6949821516672955,0.7707601721543051,0.7742228381639626
1045,ALABAMA,AL,DALE,xs,0.35980007592053653,0.5011793099665405,0.44596273291925465,0.4215120978606456,0.5010933916475545,0.4627115209241058
1047,ALABAMA,AL,DALLAS,xs,-0.19535311958405546,-0.2067517363915361,-0.344715135238826,-0.3972700806567079,-0.375,-0.37539184952978055
1049,ALABAMA,AL,DEKALB,xs,0.2844959329553858,0.4065465092189766,0.5121382469290027,0.5486317730377572,0.6885696584836986,0.6978471181359859
1051,ALABAMA,AL,ELMORE,xs,0.4253486808939674,0.5434100418410042,0.5092816552528049,0.48750176130759476,0.5150563607085347,0.4825006093102608
1053,ALABAMA,AL,ESCAMBIA,xs,0.21029159519725557,0.37910447761194027,0.28533460542456046,0.2554307619880288,0.35904344897271806,0.37404148334380893
1055,ALABAMA,AL,ETOWAH,s,0.09286367795059469,0.2734536082474227,0.3821892393320965,0.3838937220785328,0.49612806810977267,0.5020323499832383
1057,ALABAMA,AL,FAYETTE,xs,0.19441598360655737,0.39065233691577106,0.48875204222696994,0.5332242637805185,0.648563462237847,0.6736253707506275
1059,ALABAMA,AL,FRANKLIN,xs,0.1194271818427452,0.2588638030809357,0.39160181305054304,0.4048254903766461,0.6037375415282392,0.6590872952774686
1061,ALABAMA,AL,GENEVA,xs,0.3995187781148656,0.5921102661596959,0.624774813416831,0.6303886925795052,0.7202755570675284,0.7375846950976485
1063,ALABAMA,AL,GREENE,xs,-0.6037306642402184,-0.5909856781802865,-0.6657869934024505,-0.696067415730337,-0.6506147540983607,-0.6301570680628272
