county_fips,POP_ESTIMATE_2020,state,state_po,county_name,fixed_fips,size,2000,2004,2008,2012,2016,2020
10003,570918.0,DELAWARE,DE,NEW CASTLE,10003,m,-0.22982699124392592,-0.21993091565746095,-0.40621331658977367,-0.34066631747694553,-0.2949567629987309,-0.3708545264277743
1011,10229.0,ALABAMA,AL,BULLOCK,01011,xs,-0.40008156606851547,-0.36379054483782064,-0.4838411819021237,-0.5279969936114243,-0.5074309978768577,-0.4985909386516367
1047,38171.0,ALABAMA,AL,DALLAS,01047,xs,-0.19535311958405546,-0.2067517363915361,-0.344715135238826,-0.3972700806567079,-0.375,-0.37539184952978055
1063,7700.0,ALABAMA,AL,GREENE,01063,xs,-0.6037306642402184,-0.5909856781802865,-0.6657869934024505,-0.696067415730337,-0.6506147540983607,-0.6301570680628272
1085,10285.0,ALABAMA,AL,LOWNDES,01085,xs,-0.46756367131186927,-0.40641089520013285,-0.5001374003847211,-0.5306475202765589,-0.46858168761220825,-0.458814923189466
1087,19464.0,ALABAMA,AL,MACON,01087,xs,-0.7444230551466425,-0.6622727755926437,-0.7404615243173669,-0.7421589378487589,-0.6712253829321663,-0.6381978677060645
11001,670839.0,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,11001,m,-0.7620335423539085,-0.7984410288857838,-0.8592455229017539,-0.8363482251058673,-0.867763470706915,-0.8675237254469212
1105,8458.0,ALABAMA,AL,PERRY,01105,xs,-0.39536893036115434,-0.36737280463516203,-0.45104724792985873,-0.5020495163141498,-0.4579386131110269,-0.4820267686424474
1119,12191.0,ALABAMA,AL,SUMTER,01119,xs,-0.4576215505913272,-0.41147209699984455,-0.5032763532763532,-0.5457520990465348,-0.49368273280299485,-0.48481958353202986
1131,10534.0,ALABAMA,AL,WILCOX,01131,xs,-0.3478345688646118,-0.3526927138331573,-0.4225438866646135,-0.4867959090215234,-0.42530238640078455,-0.37523293240725053
1133,23493.0,ALABAMA,AL,WINSTON,01133,xs,0.3993346211633398,0.5654801880456682,0.6326388196590569,0.7232859789993823,0.8102395035392224,0.8171747607231479
12039,43411.0,FLORIDA,FL,GADSDEN,12039,xs,-0.3373395803625993,-0.39916126572626764,-0.38964904486894714,-0.4062402773456598,-0.3749830416497083,-0.3656257890749937
13025,18044.0,GEORGIA,GA,BRANTLEY,13025,xs,0.3823915900131406,0.5473478106087576,0.6310339334076789,0.6706097967344219,0.7852721790192033,0.8122902143041569
13059,128551.0,GEORGIA,GA,CLARKE,13059,s,-0.11475920287849432,-0.1790251107828656,-0.31329378158646454,-0.2877526753864447,-0.3754446816079687,-0.4208209144215222
13063,299439.0,GEORGIA,GA,CLAYTON,13063,s,-0.3269600338751181,-0.4149422975385312,-0.6639413503891872,-0.7007088802606514,-0.7061781841286251,-0.7090988392793562
13089,764489.0,GEORGIA,GA,DEKALB,13089,l,-0.43504864078552596,-0.4606991406501798,-0.5864486923714168,-0.5675868937031655,-0.6350994576768746,-0.6738168951791242
13095,85155.0,GEORGIA,GA,DOUGHERTY,13095,xs,-0.15145884943572804,-0.18111570125122597,-0.3497914843227102,-0.39151876368047683,-0.38369466365476573,-0.39996035229815075
13121,1069394.0,GEORGIA,GA,FULTON,13121,l,-0.1792053553789341,-0.1936290264981073,-0.3497391698797913,-0.29779096305354885,-0.41555804363095195,-0.46488099889642603
13141,8711.0,GEORGIA,GA,HANCOCK,13141,xs,-0.5677252106286454,-0.5332394366197183,-0.6307550644567219,-0.6210861056751468,-0.5189944134078213,-0.4384153661464586
13245,206524.0,GEORGIA,GA,RICHMOND,13245,s,-0.10302756439222774,-0.1370918853381831,-0.3183794889894495,-0.33807896735003795,-0.3224922200887241,-0.3716902638595201
13247,93611.0,GEORGIA,GA,ROCKDALE,13247,xs,0.28986977159316807,0.21568879188599308,-0.0956081260276879,-0.1656032558750164,-0.2581795135863107,-0.40800250637783647
15001,200744.0,HAWAII,HI,HAWAII,15001,s,-0.22847031065670467,-0.22675123912516032,-0.5372855520353876,-0.5117250291549784,-0.36625711070343936,-0.3625162274808117
15009,164768.0,HAWAII,HI,MAUI,15009,s,-0.27028128821850794,-0.22382458359687962,-0.5517194771090386,-0.5025383840667584,-0.38567715853306384,-0.3544141658690389
16013,24348.0,IDAHO,ID,BLAINE,16013,xs,-0.027714789619551525,-0.19298245614035087,-0.33185129126856494,-0.20139297626054542,-0.2868332711674748,-0.36774776130634357
17031,5263608.0,ILLINOIS,IL,COOK,17031,xl,-0.3998082433904798,-0.4110007933897847,-0.533944399583432,-0.49363515654477513,-0.5367603764450817,-0.5029985104368495
19103,153056.0,IOWA,IA,JOHNSON,19103,s,-0.25156815554586975,-0.2926590488427944,-0.41514217197670433,-0.3549495241981126,-0.37894463218092017,-0.428987131936411
20045,118784.0,KANSAS,KS,DOUGLAS,20045,s,-0.029795672473517748,-0.16144159964877972,-0.3084197910034084,-0.24646380724893552,-0.32956655419569947,-0.39497436759391547
20199,1512.0,KANSAS,KS,WALLACE,20199,xs,0.7363530778164924,0.7191780821917808,0.7388059701492538,0.8157894736842105,0.8458646616541353,0.88
2033,,,,,,,0.463613406795225,0.37959407569939657,0.5030867661914917,0.21054745014054344,-0.3267565935172136,-0.4085805568233683
2099,,,,,,,0.17544961900004485,0.2255101998029384,0.16077152313406684,0.2342933435500935,-0.6842105263157895,-0.7251732101616628
22023,5623.0,LOUISIANA,LA,CAMERON,22023,xs,0.27683480755438683,0.3928879310344828,0.6520937582301817,0.7617521367521367,0.7944203683640303,0.8286704629858876
22059,14823.0,LOUISIANA,LA,LA SALLE,22059,xs,0.5185003274394238,0.6187880731003527,0.7236380283839463,0.7550213024954352,0.7963160298371137,0.811078140454995
22071,383241.0,LOUISIANA,LA,ORLEANS,22071,m,-0.5420232754482096,-0.5568814274770044,-0.6015640487534778,-0.6255441566917808,-0.6616167708006658,-0.6815357189051788
23005,303585.0,MAINE,ME,CUMBERLAND,23005,m,-0.10980227177114009,-0.15248920544709746,-0.2987005866549701,-0.269430842684967,-0.263488109511227,-0.3530886001000439
24017,166741.0,MARYLAND,MD,CHARLES,24017,s,-0.002354682454251884,-0.01565907178791573,-0.2552939666604874,-0.3136848262476403,-0.30301521014520516,-0.4088582985094639
24027,332814.0,MARYLAND,MD,HOWARD,24027,m,-0.0775587653729861,-0.09366265600478291,-0.21845586058264996,-0.21968153199049037,-0.339798881579353,-0.44270793501655176
24031,1060904.0,MARYLAND,MD,MONTGOMERY,24031,l,-0.290224596973806,-0.33139141429345537,-0.44583061095794985,-0.43870725802207056,-0.5536603650654767,-0.596442482618039
24033,965365.0,MARYLAND,MD,PRINCE GEORGE'S,24033,l,-0.6109838217933206,-0.6436946187129876,-0.7848732441060248,-0.8051807378063878,-0.797259116000871,-0.8052582645843877
24510,583157.0,MARYLAND,MD,BALTIMORE CITY,24510,m,-0.6840554250431384,-0.6498878551059875,-0.7549925193521109,-0.7610362000748017,-0.7412970651874253,-0.7659615684259731
25003,128619.0,MASSACHUSETTS,MA,BERKSHIRE,25003,s,-0.3724731110400431,-0.47383253434623457,-0.524451837290186,-0.5364110039388394,-0.41471845439254357,-0.46872692313051234
25007,20593.0,MASSACHUSETTS,MA,DUKES,25007,xs,-0.3567073170731707,-0.4664399319795939,-0.5184307779778262,-0.47283005105762216,-0.5149539210572075,-0.565757787617494
